neighborhood,city,geoType,indicator,value,topic,type,format,order,topicOrder
Shippan,Stamford,1_neighborhood,Percent under age 18,0.225,Age,map,.0%,3,3
South End,Stamford,1_neighborhood,Percent under age 18,0.222,Age,map,.0%,3,3
Springdale,Stamford,1_neighborhood,Percent under age 18,0.233,Age,map,.0%,3,3
Turn of River,Stamford,1_neighborhood,Percent under age 18,0.211,Age,map,.0%,3,3
Waterside,Stamford,1_neighborhood,Percent under age 18,0.227,Age,map,.0%,3,3
West Side,Stamford,1_neighborhood,Percent under age 18,0.269,Age,map,.0%,3,3
Stamford,Stamford,2_city,Percent under age 18,0.213,Age,map,.0%,3,3
Fairfield County,Stamford,3_county,Percent under age 18,0.236,Age,map,.0%,3,3
Connecticut,Stamford,4_state,Percent under age 18,0.216,Age,map,.0%,3,3
Belltown,Stamford,1_neighborhood,Population ages 65+,522,Age,table,",",4,4
Cove-East Side,Stamford,1_neighborhood,Population ages 65+,1829,Age,table,",",4,4
Downtown,Stamford,1_neighborhood,Population ages 65+,2154,Age,table,",",4,4
Glenbrook,Stamford,1_neighborhood,Population ages 65+,1887,Age,table,",",4,4
Newfield,Stamford,1_neighborhood,Population ages 65+,662,Age,table,",",4,4
North Stamford,Stamford,1_neighborhood,Population ages 65+,2530,Age,table,",",4,4
PH-Roxbury-Westover,Stamford,1_neighborhood,Population ages 65+,1296,Age,table,",",4,4
Ridgeway,Stamford,1_neighborhood,Population ages 65+,584,Age,table,",",4,4
Shippan,Stamford,1_neighborhood,Population ages 65+,368,Age,table,",",4,4
South End,Stamford,1_neighborhood,Population ages 65+,186,Age,table,",",4,4
Springdale,Stamford,1_neighborhood,Population ages 65+,866,Age,table,",",4,4
Turn of River,Stamford,1_neighborhood,Population ages 65+,2093,Age,table,",",4,4
Waterside,Stamford,1_neighborhood,Population ages 65+,633,Age,table,",",4,4
West Side,Stamford,1_neighborhood,Population ages 65+,1091,Age,table,",",4,4
Stamford,Stamford,2_city,Population ages 65+,16701,Age,table,",",4,4
Fairfield County,Stamford,3_county,Population ages 65+,135434,Age,table,",",4,4
Connecticut,Stamford,4_state,Population ages 65+,555023,Age,table,",",4,4
Belltown,Stamford,1_neighborhood,Percent ages 65+,0.123,Age,map,.0%,5,5
Cove-East Side,Stamford,1_neighborhood,Percent ages 65+,0.102,Age,map,.0%,5,5
Downtown,Stamford,1_neighborhood,Percent ages 65+,0.111,Age,map,.0%,5,5
Glenbrook,Stamford,1_neighborhood,Percent ages 65+,0.147,Age,map,.0%,5,5
Newfield,Stamford,1_neighborhood,Percent ages 65+,0.194,Age,map,.0%,5,5
North Stamford,Stamford,1_neighborhood,Percent ages 65+,0.173,Age,map,.0%,5,5
PH-Roxbury-Westover,Stamford,1_neighborhood,Percent ages 65+,0.261,Age,map,.0%,5,5
Ridgeway,Stamford,1_neighborhood,Percent ages 65+,0.125,Age,map,.0%,5,5
Shippan,Stamford,1_neighborhood,Percent ages 65+,0.161,Age,map,.0%,5,5
South End,Stamford,1_neighborhood,Percent ages 65+,0.0416,Age,map,.0%,5,5
Springdale,Stamford,1_neighborhood,Percent ages 65+,0.12,Age,map,.0%,5,5
Turn of River,Stamford,1_neighborhood,Percent ages 65+,0.166,Age,map,.0%,5,5
Waterside,Stamford,1_neighborhood,Percent ages 65+,0.108,Age,map,.0%,5,5
West Side,Stamford,1_neighborhood,Percent ages 65+,0.0848,Age,map,.0%,5,5
Stamford,Stamford,2_city,Percent ages 65+,0.131,Age,map,.0%,5,5
Fairfield County,Stamford,3_county,Percent ages 65+,0.144,Age,map,.0%,5,5
Connecticut,Stamford,4_state,Percent ages 65+,0.155,Age,map,.0%,5,5
Belltown,Stamford,1_neighborhood,Total population,4258,Race and ethnicity,table,",",1,6
Cove-East Side,Stamford,1_neighborhood,Total population,17977,Race and ethnicity,table,",",1,6
Downtown,Stamford,1_neighborhood,Total population,19440,Race and ethnicity,table,",",1,6
Glenbrook,Stamford,1_neighborhood,Total population,12814,Race and ethnicity,table,",",1,6
Newfield,Stamford,1_neighborhood,Total population,3408,Race and ethnicity,table,",",1,6
North Stamford,Stamford,1_neighborhood,Total population,14599,Race and ethnicity,table,",",1,6
PH-Roxbury-Westover,Stamford,1_neighborhood,Total population,4972,Race and ethnicity,table,",",1,6
Ridgeway,Stamford,1_neighborhood,Total population,4678,Race and ethnicity,table,",",1,6
Shippan,Stamford,1_neighborhood,Total population,2281,Race and ethnicity,table,",",1,6
South End,Stamford,1_neighborhood,Total population,4468,Race and ethnicity,table,",",1,6
Springdale,Stamford,1_neighborhood,Total population,7229,Race and ethnicity,table,",",1,6
Turn of River,Stamford,1_neighborhood,Total population,12589,Race and ethnicity,table,",",1,6
Waterside,Stamford,1_neighborhood,Total population,5836,Race and ethnicity,table,",",1,6
West Side,Stamford,1_neighborhood,Total population,12861,Race and ethnicity,table,",",1,6
Stamford,Stamford,2_city,Total population,127410,Race and ethnicity,table,",",1,6
Fairfield County,Stamford,3_county,Total population,941618,Race and ethnicity,table,",",1,6
Connecticut,Stamford,4_state,Total population,3588570,Race and ethnicity,table,",",1,6
Belltown,Stamford,1_neighborhood,Latino population,643,Race and ethnicity,table,",",2,7
Cove-East Side,Stamford,1_neighborhood,Latino population,7715,Race and ethnicity,table,",",2,7
Downtown,Stamford,1_neighborhood,Latino population,4133,Race and ethnicity,table,",",2,7
Glenbrook,Stamford,1_neighborhood,Latino population,3885,Race and ethnicity,table,",",2,7
Newfield,Stamford,1_neighborhood,Latino population,445,Race and ethnicity,table,",",2,7
North Stamford,Stamford,1_neighborhood,Latino population,1337,Race and ethnicity,table,",",2,7
PH-Roxbury-Westover,Stamford,1_neighborhood,Latino population,460,Race and ethnicity,table,",",2,7
Ridgeway,Stamford,1_neighborhood,Latino population,1300,Race and ethnicity,table,",",2,7
Shippan,Stamford,1_neighborhood,Latino population,258,Race and ethnicity,table,",",2,7
South End,Stamford,1_neighborhood,Latino population,2154,Race and ethnicity,table,",",2,7
Springdale,Stamford,1_neighborhood,Latino population,1428,Race and ethnicity,table,",",2,7
Turn of River,Stamford,1_neighborhood,Latino population,1404,Race and ethnicity,table,",",2,7
Waterside,Stamford,1_neighborhood,Latino population,2739,Race and ethnicity,table,",",2,7
West Side,Stamford,1_neighborhood,Latino population,5925,Race and ethnicity,table,",",2,7
Stamford,Stamford,2_city,Latino population,33826,Race and ethnicity,table,",",2,7
Fairfield County,Stamford,3_county,Latino population,175480,Race and ethnicity,table,",",2,7
Connecticut,Stamford,4_state,Latino population,537728,Race and ethnicity,table,",",2,7
Belltown,Stamford,1_neighborhood,Percent Latino,0.151,Race and ethnicity,map,.0%,3,8
Cove-East Side,Stamford,1_neighborhood,Percent Latino,0.429,Race and ethnicity,map,.0%,3,8
Downtown,Stamford,1_neighborhood,Percent Latino,0.213,Race and ethnicity,map,.0%,3,8
Glenbrook,Stamford,1_neighborhood,Percent Latino,0.303,Race and ethnicity,map,.0%,3,8
Newfield,Stamford,1_neighborhood,Percent Latino,0.13,Race and ethnicity,map,.0%,3,8
North Stamford,Stamford,1_neighborhood,Percent Latino,0.0916,Race and ethnicity,map,.0%,3,8
PH-Roxbury-Westover,Stamford,1_neighborhood,Percent Latino,0.0925,Race and ethnicity,map,.0%,3,8
Ridgeway,Stamford,1_neighborhood,Percent Latino,0.278,Race and ethnicity,map,.0%,3,8
Shippan,Stamford,1_neighborhood,Percent Latino,0.113,Race and ethnicity,map,.0%,3,8
South End,Stamford,1_neighborhood,Percent Latino,0.482,Race and ethnicity,map,.0%,3,8
Springdale,Stamford,1_neighborhood,Percent Latino,0.198,Race and ethnicity,map,.0%,3,8
Turn of River,Stamford,1_neighborhood,Percent Latino,0.112,Race and ethnicity,map,.0%,3,8
Waterside,Stamford,1_neighborhood,Percent Latino,0.469,Race and ethnicity,map,.0%,3,8
West Side,Stamford,1_neighborhood,Percent Latino,0.461,Race and ethnicity,map,.0%,3,8
Stamford,Stamford,2_city,Percent Latino,0.265,Race and ethnicity,map,.0%,3,8
Fairfield County,Stamford,3_county,Percent Latino,0.186,Race and ethnicity,map,.0%,3,8
Connecticut,Stamford,4_state,Percent Latino,0.15,Race and ethnicity,map,.0%,3,8
Belltown,Stamford,1_neighborhood,White population,2648,Race and ethnicity,table,",",4,9
Cove-East Side,Stamford,1_neighborhood,White population,6276,Race and ethnicity,table,",",4,9
Downtown,Stamford,1_neighborhood,White population,8063,Race and ethnicity,table,",",4,9
Glenbrook,Stamford,1_neighborhood,White population,5795,Race and ethnicity,table,",",4,9
Newfield,Stamford,1_neighborhood,White population,2693,Race and ethnicity,table,",",4,9
North Stamford,Stamford,1_neighborhood,White population,11634,Race and ethnicity,table,",",4,9
PH-Roxbury-Westover,Stamford,1_neighborhood,White population,3998,Race and ethnicity,table,",",4,9
Ridgeway,Stamford,1_neighborhood,White population,2073,Race and ethnicity,table,",",4,9
Shippan,Stamford,1_neighborhood,White population,1879,Race and ethnicity,table,",",4,9
South End,Stamford,1_neighborhood,White population,1287,Race and ethnicity,table,",",4,9
Springdale,Stamford,1_neighborhood,White population,4257,Race and ethnicity,table,",",4,9
Turn of River,Stamford,1_neighborhood,White population,8817,Race and ethnicity,table,",",4,9
Waterside,Stamford,1_neighborhood,White population,1506,Race and ethnicity,table,",",4,9
West Side,Stamford,1_neighborhood,White population,2330,Race and ethnicity,table,",",4,9
Stamford,Stamford,2_city,White population,63256,Race and ethnicity,table,",",4,9
Fairfield County,Stamford,3_county,White population,598017,Race and ethnicity,table,",",4,9
Connecticut,Stamford,4_state,White population,2464450,Race and ethnicity,table,",",4,9
Belltown,Stamford,1_neighborhood,Percent white,0.622,Race and ethnicity,map,.0%,5,10
Cove-East Side,Stamford,1_neighborhood,Percent white,0.349,Race and ethnicity,map,.0%,5,10
Downtown,Stamford,1_neighborhood,Percent white,0.415,Race and ethnicity,map,.0%,5,10
Glenbrook,Stamford,1_neighborhood,Percent white,0.452,Race and ethnicity,map,.0%,5,10
Newfield,Stamford,1_neighborhood,Percent white,0.79,Race and ethnicity,map,.0%,5,10
North Stamford,Stamford,1_neighborhood,Percent white,0.797,Race and ethnicity,map,.0%,5,10
PH-Roxbury-Westover,Stamford,1_neighborhood,Percent white,0.804,Race and ethnicity,map,.0%,5,10
Ridgeway,Stamford,1_neighborhood,Percent white,0.443,Race and ethnicity,map,.0%,5,10
Shippan,Stamford,1_neighborhood,Percent white,0.824,Race and ethnicity,map,.0%,5,10
South End,Stamford,1_neighborhood,Percent white,0.288,Race and ethnicity,map,.0%,5,10
Springdale,Stamford,1_neighborhood,Percent white,0.589,Race and ethnicity,map,.0%,5,10
Turn of River,Stamford,1_neighborhood,Percent white,0.7,Race and ethnicity,map,.0%,5,10
Waterside,Stamford,1_neighborhood,Percent white,0.258,Race and ethnicity,map,.0%,5,10
West Side,Stamford,1_neighborhood,Percent white,0.181,Race and ethnicity,map,.0%,5,10
Stamford,Stamford,2_city,Percent white,0.496,Race and ethnicity,map,.0%,5,10
Fairfield County,Stamford,3_county,Percent white,0.635,Race and ethnicity,map,.0%,5,10
Connecticut,Stamford,4_state,Percent white,0.687,Race and ethnicity,map,.0%,5,10
Belltown,Stamford,1_neighborhood,Black population,426,Race and ethnicity,table,",",6,11
Cove-East Side,Stamford,1_neighborhood,Black population,3149,Race and ethnicity,table,",",6,11
Downtown,Stamford,1_neighborhood,Black population,3073,Race and ethnicity,table,",",6,11
Glenbrook,Stamford,1_neighborhood,Black population,1911,Race and ethnicity,table,",",6,11
Newfield,Stamford,1_neighborhood,Black population,64,Race and ethnicity,table,",",6,11
North Stamford,Stamford,1_neighborhood,Black population,456,Race and ethnicity,table,",",6,11
PH-Roxbury-Westover,Stamford,1_neighborhood,Black population,167,Race and ethnicity,table,",",6,11
Ridgeway,Stamford,1_neighborhood,Black population,801,Race and ethnicity,table,",",6,11
Shippan,Stamford,1_neighborhood,Black population,36,Race and ethnicity,table,",",6,11
South End,Stamford,1_neighborhood,Black population,900,Race and ethnicity,table,",",6,11
Springdale,Stamford,1_neighborhood,Black population,592,Race and ethnicity,table,",",6,11
Turn of River,Stamford,1_neighborhood,Black population,706,Race and ethnicity,table,",",6,11
Waterside,Stamford,1_neighborhood,Black population,1480,Race and ethnicity,table,",",6,11
West Side,Stamford,1_neighborhood,Black population,4062,Race and ethnicity,table,",",6,11
Stamford,Stamford,2_city,Black population,17822,Race and ethnicity,table,",",6,11
Fairfield County,Stamford,3_county,Black population,98457,Race and ethnicity,table,",",6,11
Connecticut,Stamford,4_state,Black population,347674,Race and ethnicity,table,",",6,11
Belltown,Stamford,1_neighborhood,Percent black,0.1,Race and ethnicity,map,.0%,7,12
Cove-East Side,Stamford,1_neighborhood,Percent black,0.175,Race and ethnicity,map,.0%,7,12
Downtown,Stamford,1_neighborhood,Percent black,0.158,Race and ethnicity,map,.0%,7,12
Glenbrook,Stamford,1_neighborhood,Percent black,0.149,Race and ethnicity,map,.0%,7,12
Newfield,Stamford,1_neighborhood,Percent black,0.0188,Race and ethnicity,map,.0%,7,12
North Stamford,Stamford,1_neighborhood,Percent black,0.0312,Race and ethnicity,map,.0%,7,12
PH-Roxbury-Westover,Stamford,1_neighborhood,Percent black,0.0336,Race and ethnicity,map,.0%,7,12
Ridgeway,Stamford,1_neighborhood,Percent black,0.171,Race and ethnicity,map,.0%,7,12
Shippan,Stamford,1_neighborhood,Percent black,0.0158,Race and ethnicity,map,.0%,7,12
South End,Stamford,1_neighborhood,Percent black,0.201,Race and ethnicity,map,.0%,7,12
Springdale,Stamford,1_neighborhood,Percent black,0.0818,Race and ethnicity,map,.0%,7,12
Turn of River,Stamford,1_neighborhood,Percent black,0.0561,Race and ethnicity,map,.0%,7,12
Waterside,Stamford,1_neighborhood,Percent black,0.254,Race and ethnicity,map,.0%,7,12
West Side,Stamford,1_neighborhood,Percent black,0.316,Race and ethnicity,map,.0%,7,12
Stamford,Stamford,2_city,Percent black,0.14,Race and ethnicity,map,.0%,7,12
Fairfield County,Stamford,3_county,Percent black,0.105,Race and ethnicity,map,.0%,7,12
Connecticut,Stamford,4_state,Percent black,0.0969,Race and ethnicity,map,.0%,7,12
Belltown,Stamford,1_neighborhood,Other race population,541,Race and ethnicity,table,",",8,13
Cove-East Side,Stamford,1_neighborhood,Other race population,837,Race and ethnicity,table,",",8,13
Downtown,Stamford,1_neighborhood,Other race population,4171,Race and ethnicity,table,",",8,13
Glenbrook,Stamford,1_neighborhood,Other race population,1224,Race and ethnicity,table,",",8,13
Newfield,Stamford,1_neighborhood,Other race population,206,Race and ethnicity,table,",",8,13
North Stamford,Stamford,1_neighborhood,Other race population,1172,Race and ethnicity,table,",",8,13
PH-Roxbury-Westover,Stamford,1_neighborhood,Other race population,347,Race and ethnicity,table,",",8,13
Ridgeway,Stamford,1_neighborhood,Other race population,504,Race and ethnicity,table,",",8,13
Shippan,Stamford,1_neighborhood,Other race population,108,Race and ethnicity,table,",",8,13
South End,Stamford,1_neighborhood,Other race population,127,Race and ethnicity,table,",",8,13
Springdale,Stamford,1_neighborhood,Other race population,953,Race and ethnicity,table,",",8,13
Turn of River,Stamford,1_neighborhood,Other race population,1662,Race and ethnicity,table,",",8,13
Waterside,Stamford,1_neighborhood,Other race population,111,Race and ethnicity,table,",",8,13
West Side,Stamford,1_neighborhood,Other race population,544,Race and ethnicity,table,",",8,13
Stamford,Stamford,2_city,Other race population,12506,Race and ethnicity,table,",",8,13
Fairfield County,Stamford,3_county,Other race population,69664,Race and ethnicity,table,",",8,13
Connecticut,Stamford,4_state,Other race population,238718,Race and ethnicity,table,",",8,13
Belltown,Stamford,1_neighborhood,Percent other race,0.127,Race and ethnicity,map,.0%,9,14
Cove-East Side,Stamford,1_neighborhood,Percent other race,0.0466,Race and ethnicity,map,.0%,9,14
Downtown,Stamford,1_neighborhood,Percent other race,0.215,Race and ethnicity,map,.0%,9,14
Glenbrook,Stamford,1_neighborhood,Percent other race,0.0955,Race and ethnicity,map,.0%,9,14
Newfield,Stamford,1_neighborhood,Percent other race,0.0604,Race and ethnicity,map,.0%,9,14
North Stamford,Stamford,1_neighborhood,Percent other race,0.0803,Race and ethnicity,map,.0%,9,14
PH-Roxbury-Westover,Stamford,1_neighborhood,Percent other race,0.0698,Race and ethnicity,map,.0%,9,14
Ridgeway,Stamford,1_neighborhood,Percent other race,0.108,Race and ethnicity,map,.0%,9,14
Shippan,Stamford,1_neighborhood,Percent other race,0.0473,Race and ethnicity,map,.0%,9,14
South End,Stamford,1_neighborhood,Percent other race,0.0284,Race and ethnicity,map,.0%,9,14
Springdale,Stamford,1_neighborhood,Percent other race,0.132,Race and ethnicity,map,.0%,9,14
Turn of River,Stamford,1_neighborhood,Percent other race,0.132,Race and ethnicity,map,.0%,9,14
Waterside,Stamford,1_neighborhood,Percent other race,0.019,Race and ethnicity,map,.0%,9,14
West Side,Stamford,1_neighborhood,Percent other race,0.0423,Race and ethnicity,map,.0%,9,14
Stamford,Stamford,2_city,Percent other race,0.0982,Race and ethnicity,map,.0%,9,14
Fairfield County,Stamford,3_county,Percent other race,0.074,Race and ethnicity,map,.0%,9,14
Connecticut,Stamford,4_state,Percent other race,0.0665,Race and ethnicity,map,.0%,9,14
Belltown,Stamford,1_neighborhood,Total households,1656,Households,table,",",1,15
Cove-East Side,Stamford,1_neighborhood,Total households,6336,Households,table,",",1,15
Downtown,Stamford,1_neighborhood,Total households,9301,Households,table,",",1,15
Glenbrook,Stamford,1_neighborhood,Total households,5063,Households,table,",",1,15
Newfield,Stamford,1_neighborhood,Total households,1294,Households,table,",",1,15
North Stamford,Stamford,1_neighborhood,Total households,4861,Households,table,",",1,15
PH-Roxbury-Westover,Stamford,1_neighborhood,Total households,1715,Households,table,",",1,15
Ridgeway,Stamford,1_neighborhood,Total households,1582,Households,table,",",1,15
Shippan,Stamford,1_neighborhood,Total households,820,Households,table,",",1,15
South End,Stamford,1_neighborhood,Total households,1602,Households,table,",",1,15
Springdale,Stamford,1_neighborhood,Total households,2881,Households,table,",",1,15
Turn of River,Stamford,1_neighborhood,Total households,4327,Households,table,",",1,15
Waterside,Stamford,1_neighborhood,Total households,1993,Households,table,",",1,15
West Side,Stamford,1_neighborhood,Total households,4278,Households,table,",",1,15
Stamford,Stamford,2_city,Total households,47708,Households,table,",",1,15
Fairfield County,Stamford,3_county,Total households,335209,Households,table,",",1,15
Connecticut,Stamford,4_state,Total households,1354713,Households,table,",",1,15
Belltown,Stamford,1_neighborhood,Owner-occupied households,1124,Households,table,",",2,16
Cove-East Side,Stamford,1_neighborhood,Owner-occupied households,2694,Households,table,",",2,16
Downtown,Stamford,1_neighborhood,Owner-occupied households,1992,Households,table,",",2,16
Glenbrook,Stamford,1_neighborhood,Owner-occupied households,3039,Households,table,",",2,16
Newfield,Stamford,1_neighborhood,Owner-occupied households,1059,Households,table,",",2,16
North Stamford,Stamford,1_neighborhood,Owner-occupied households,4564,Households,table,",",2,16
PH-Roxbury-Westover,Stamford,1_neighborhood,Owner-occupied households,1494,Households,table,",",2,16
Ridgeway,Stamford,1_neighborhood,Owner-occupied households,1256,Households,table,",",2,16
Shippan,Stamford,1_neighborhood,Owner-occupied households,717,Households,table,",",2,16
South End,Stamford,1_neighborhood,Owner-occupied households,130,Households,table,",",2,16
Springdale,Stamford,1_neighborhood,Owner-occupied households,1999,Households,table,",",2,16
Turn of River,Stamford,1_neighborhood,Owner-occupied households,3868,Households,table,",",2,16
Waterside,Stamford,1_neighborhood,Owner-occupied households,799,Households,table,",",2,16
West Side,Stamford,1_neighborhood,Owner-occupied households,1281,Households,table,",",2,16
Stamford,Stamford,2_city,Owner-occupied households,26016,Households,table,",",2,16
Fairfield County,Stamford,3_county,Owner-occupied households,226707,Households,table,",",2,16
Connecticut,Stamford,4_state,Owner-occupied households,900223,Households,table,",",2,16
Belltown,Stamford,1_neighborhood,Homeownership rate,0.679,Households,map,.0%,3,17
Cove-East Side,Stamford,1_neighborhood,Homeownership rate,0.425,Households,map,.0%,3,17
Downtown,Stamford,1_neighborhood,Homeownership rate,0.214,Households,map,.0%,3,17
Glenbrook,Stamford,1_neighborhood,Homeownership rate,0.6,Households,map,.0%,3,17
Newfield,Stamford,1_neighborhood,Homeownership rate,0.818,Households,map,.0%,3,17
North Stamford,Stamford,1_neighborhood,Homeownership rate,0.939,Households,map,.0%,3,17
PH-Roxbury-Westover,Stamford,1_neighborhood,Homeownership rate,0.871,Households,map,.0%,3,17
Ridgeway,Stamford,1_neighborhood,Homeownership rate,0.794,Households,map,.0%,3,17
Shippan,Stamford,1_neighborhood,Homeownership rate,0.874,Households,map,.0%,3,17
South End,Stamford,1_neighborhood,Homeownership rate,0.0811,Households,map,.0%,3,17
Springdale,Stamford,1_neighborhood,Homeownership rate,0.694,Households,map,.0%,3,17
Turn of River,Stamford,1_neighborhood,Homeownership rate,0.894,Households,map,.0%,3,17
Waterside,Stamford,1_neighborhood,Homeownership rate,0.401,Households,map,.0%,3,17
West Side,Stamford,1_neighborhood,Homeownership rate,0.299,Households,map,.0%,3,17
Stamford,Stamford,2_city,Homeownership rate,0.545,Households,map,.0%,3,17
Fairfield County,Stamford,3_county,Homeownership rate,0.676,Households,map,.0%,3,17
Connecticut,Stamford,4_state,Homeownership rate,0.665,Households,map,.0%,3,17
Belltown,Stamford,1_neighborhood,Poverty status known,4240,Income,table,",",1,18
Cove-East Side,Stamford,1_neighborhood,Poverty status known,17849,Income,table,",",1,18
Downtown,Stamford,1_neighborhood,Poverty status known,19432,Income,table,",",1,18
Glenbrook,Stamford,1_neighborhood,Poverty status known,12578,Income,table,",",1,18
Newfield,Stamford,1_neighborhood,Poverty status known,3408,Income,table,",",1,18
North Stamford,Stamford,1_neighborhood,Poverty status known,14474,Income,table,",",1,18
PH-Roxbury-Westover,Stamford,1_neighborhood,Poverty status known,4867,Income,table,",",1,18
Ridgeway,Stamford,1_neighborhood,Poverty status known,4642,Income,table,",",1,18
Shippan,Stamford,1_neighborhood,Poverty status known,2281,Income,table,",",1,18
South End,Stamford,1_neighborhood,Poverty status known,4377,Income,table,",",1,18
Springdale,Stamford,1_neighborhood,Poverty status known,7205,Income,table,",",1,18
Turn of River,Stamford,1_neighborhood,Poverty status known,12569,Income,table,",",1,18
Waterside,Stamford,1_neighborhood,Poverty status known,5836,Income,table,",",1,18
West Side,Stamford,1_neighborhood,Poverty status known,12704,Income,table,",",1,18
Stamford,Stamford,2_city,Poverty status known,126461,Income,table,",",1,18
Fairfield County,Stamford,3_county,Poverty status known,923385,Income,table,",",1,18
Connecticut,Stamford,4_state,Poverty status known,3479672,Income,table,",",1,18
Belltown,Stamford,1_neighborhood,Population in poverty,213,Income,table,",",2,19
Cove-East Side,Stamford,1_neighborhood,Population in poverty,1512,Income,table,",",2,19
Downtown,Stamford,1_neighborhood,Population in poverty,2761,Income,table,",",2,19
Glenbrook,Stamford,1_neighborhood,Population in poverty,840,Income,table,",",2,19
Newfield,Stamford,1_neighborhood,Population in poverty,127,Income,table,",",2,19
North Stamford,Stamford,1_neighborhood,Population in poverty,382,Income,table,",",2,19
PH-Roxbury-Westover,Stamford,1_neighborhood,Population in poverty,116,Income,table,",",2,19
Ridgeway,Stamford,1_neighborhood,Population in poverty,124,Income,table,",",2,19
Shippan,Stamford,1_neighborhood,Population in poverty,92,Income,table,",",2,19
South End,Stamford,1_neighborhood,Population in poverty,1159,Income,table,",",2,19
Springdale,Stamford,1_neighborhood,Population in poverty,312,Income,table,",",2,19
Turn of River,Stamford,1_neighborhood,Population in poverty,168,Income,table,",",2,19
Waterside,Stamford,1_neighborhood,Population in poverty,1244,Income,table,",",2,19
West Side,Stamford,1_neighborhood,Population in poverty,2228,Income,table,",",2,19
Stamford,Stamford,2_city,Population in poverty,11279,Income,table,",",2,19
Fairfield County,Stamford,3_county,Population in poverty,81553,Income,table,",",2,19
Connecticut,Stamford,4_state,Population in poverty,360464,Income,table,",",2,19
Belltown,Stamford,1_neighborhood,Poverty rate,0.0502,Income,map,.0%,3,20
Cove-East Side,Stamford,1_neighborhood,Poverty rate,0.0847,Income,map,.0%,3,20
Downtown,Stamford,1_neighborhood,Poverty rate,0.142,Income,map,.0%,3,20
Glenbrook,Stamford,1_neighborhood,Poverty rate,0.0668,Income,map,.0%,3,20
Newfield,Stamford,1_neighborhood,Poverty rate,0.0373,Income,map,.0%,3,20
North Stamford,Stamford,1_neighborhood,Poverty rate,0.0264,Income,map,.0%,3,20
